volume,position,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5,12,Cily,Rodriguez Jr.,0.799,0.415,2,-12.693,1,0.0544,0.000137,0.894,0.0985,0.638,123.016,audio_features,2sdelqUsVTaiDvrRDWlak2,spotify:track:2sdelqUsVTaiDvrRDWlak2,https://api.spotify.com/v1/tracks/2sdelqUsVTaiDvrRDWlak2,https://api.spotify.com/v1/audio-analysis/2sdelqUsVTaiDvrRDWlak2,440345,4
5,13,Cloud 9 - Purple Disco Machine Remix,Jamiroquai,0.855,0.701,9,-5.708,0,0.0499,0.00868,0.00926,0.0518,0.812,122.511,audio_features,2UZDxipn040WC3vk0YpRH6,spotify:track:2UZDxipn040WC3vk0YpRH6,https://api.spotify.com/v1/tracks/2UZDxipn040WC3vk0YpRH6,https://api.spotify.com/v1/audio-analysis/2UZDxipn040WC3vk0YpRH6,404567,4
5,14,Need Your Love - Digitalism Remix,Riton,0.547,0.616,1,-7.585,1,0.0374,0.00691,0.0406,0.103,0.203,126.976,audio_features,5PK9y7aWRPTVmsfM3SPQL3,spotify:track:5PK9y7aWRPTVmsfM3SPQL3,https://api.spotify.com/v1/tracks/5PK9y7aWRPTVmsfM3SPQL3,https://api.spotify.com/v1/audio-analysis/5PK9y7aWRPTVmsfM3SPQL3,362834,4
5,15,I Watched You Slip,Panama,0.738,0.676,7,-7.262,0,0.0306,0.0275,0.00153,0.107,0.661,99.999,audio_features,630soYtuiKI6lw98DbqdwM,spotify:track:630soYtuiKI6lw98DbqdwM,https://api.spotify.com/v1/tracks/630soYtuiKI6lw98DbqdwM,https://api.spotify.com/v1/audio-analysis/630soYtuiKI6lw98DbqdwM,238222,4
5,16,Part Of Your Life - Croquet Club Remix,Aquilo,0.714,0.596,9,-7.692,0,0.0456,0.473,0.71,0.0926,0.12,120.038,audio_features,7sa64QgMwHoatTTirfkKRt,spotify:track:7sa64QgMwHoatTTirfkKRt,https://api.spotify.com/v1/tracks/7sa64QgMwHoatTTirfkKRt,https://api.spotify.com/v1/audio-analysis/7sa64QgMwHoatTTirfkKRt,258813,4
4,1,Somewhere In Between,August Wilhelmsson,0.156,0.138,0,-19.958,1,0.0362,0.984,0.953,0.0983,0.0386,68.062,audio_features,7DGFxOJp8gfV3Y1JqOJ1A4,spotify:track:7DGFxOJp8gfV3Y1JqOJ1A4,https://api.spotify.com/v1/tracks/7DGFxOJp8gfV3Y1JqOJ1A4,https://api.spotify.com/v1/audio-analysis/7DGFxOJp8gfV3Y1JqOJ1A4,151512,3
4,2,Night,Ludovico Einaudi,0.21,0.179,3,-15.954,1,0.0341,0.962,0.934,0.103,0.06,106.705,audio_features,1theT4wIbPitjIglidXPL1,spotify:track:1theT4wIbPitjIglidXPL1,https://api.spotify.com/v1/tracks/1theT4wIbPitjIglidXPL1,https://api.spotify.com/v1/audio-analysis/1theT4wIbPitjIglidXPL1,330573,4
4,3,Have The Guts,Youandewan,0.191,0.87,5,-8.897,1,0.0469,0.347,0.948,0.192,0.0395,157.267,audio_features,7taUjVozB5ygrvfzM72Lkx,spotify:track:7taUjVozB5ygrvfzM72Lkx,https://api.spotify.com/v1/tracks/7taUjVozB5ygrvfzM72Lkx,https://api.spotify.com/v1/audio-analysis/7taUjVozB5ygrvfzM72Lkx,274890,5
4,4,Steal,Maribou State,0.731,0.456,6,-6.778,0,0.0497,0.629,8.9e-05,0.092,0.228,110.989,audio_features,5jt2sIPRdTIiT8Fy5PU8gx,spotify:track:5jt2sIPRdTIiT8Fy5PU8gx,https://api.spotify.com/v1/tracks/5jt2sIPRdTIiT8Fy5PU8gx,https://api.spotify.com/v1/audio-analysis/5jt2sIPRdTIiT8Fy5PU8gx,219946,4
4,5,In My Car,Gold Panda,0.436,0.811,4,-6.478,0,0.498,0.285,0.185,0.337,0.153,148.087,audio_features,5aQqGqENuhfqEvmQTPtACn,spotify:track:5aQqGqENuhfqEvmQTPtACn,https://api.spotify.com/v1/tracks/5aQqGqENuhfqEvmQTPtACn,https://api.spotify.com/v1/audio-analysis/5aQqGqENuhfqEvmQTPtACn,267733,4
